0.0000000000000000E+000, 0.0000000000000000E+000,-1.0000000000000000E-050
1.0000000000000000E-002, 1.0000000000000000E-002, 4.1084440364016162E-013
2.0000000000000000E-002, 2.0000000000000000E-002, 9.4698868408242639E-013
2.9999999999999999E-002, 2.9999999999999999E-002, 1.6470214916705833E-012
4.0000000000000001E-002, 4.0000000000000001E-002, 2.5614094190079187E-012
5.0000000000000003E-002, 5.0000000000000003E-002, 3.7561502262747661E-012
6.0000000000000005E-002, 6.0000000000000005E-002, 5.3175486729003338E-012
7.0000000000000007E-002, 7.0000000000000007E-002, 7.3584595896020379E-012
8.0000000000000002E-002, 8.0000000000000002E-002, 1.0026448514626695E-011
8.9999999999999997E-002, 8.9999999999999997E-002, 1.3514458284103691E-011
9.9999999999999992E-002, 9.9999999999999992E-002, 1.8074750315785021E-011
1.0999999999999999E-001, 1.0999999999999999E-001, 2.4037124893967355E-011
1.1999999999999998E-001, 1.1999999999999998E-001, 3.1832732441587457E-011
1.2999999999999998E-001, 1.2999999999999998E-001, 4.2025189607846071E-011
1.3999999999999999E-001, 1.3999999999999999E-001, 5.5351238804893865E-011
1.4999999999999999E-001, 1.4999999999999999E-001, 7.2773875203757544E-011
1.6000000000000000E-001, 1.6000000000000000E-001, 9.5551760269164510E-011
1.7000000000000001E-001, 1.7000000000000001E-001, 1.2532990984864702E-010
1.8000000000000002E-001, 1.8000000000000002E-001, 1.6425817149977603E-010
1.9000000000000003E-001, 1.9000000000000003E-001, 2.1514599979656751E-010
2.0000000000000004E-001, 2.0000000000000004E-001, 2.8166464327433508E-010
2.1000000000000005E-001, 2.1000000000000005E-001, 3.6861126034120322E-010
2.2000000000000006E-001, 2.2000000000000006E-001, 4.8225393026800010E-010
2.3000000000000007E-001, 2.3000000000000007E-001, 6.3078234283951464E-010
2.4000000000000007E-001, 2.4000000000000007E-001, 8.2489656232641993E-010
2.5000000000000006E-001, 2.5000000000000006E-001, 1.0785762303777723E-009
2.6000000000000006E-001, 2.6000000000000006E-001, 1.4100856432940754E-009
2.7000000000000007E-001, 2.7000000000000007E-001, 1.8432873040229111E-009
2.8000000000000008E-001, 2.8000000000000008E-001, 2.4093591374239188E-009
2.9000000000000009E-001, 2.9000000000000009E-001, 3.1490403639515920E-009
3.0000000000000010E-001, 3.0000000000000010E-001, 4.1155704994727739E-009
3.1000000000000011E-001, 3.1000000000000011E-001, 5.3785384639692093E-009
3.2000000000000012E-001, 3.2000000000000012E-001, 7.0289290621981936E-009
3.3000000000000013E-001, 3.3000000000000013E-001, 9.1857488567544133E-009
3.4000000000000014E-001, 3.4000000000000014E-001, 1.2004742396806821E-008
3.5000000000000014E-001, 3.5000000000000014E-001, 1.5689887206207985E-008
3.6000000000000015E-001, 3.6000000000000015E-001, 2.0508603389761355E-008
3.7000000000000016E-001, 3.7000000000000016E-001, 2.6811964172459651E-008
3.8000000000000017E-001, 3.8000000000000017E-001, 3.5061698664182300E-008
3.9000000000000018E-001, 3.9000000000000018E-001, 4.5866519504904652E-008
4.0000000000000019E-001, 4.0000000000000019E-001, 6.0031417871592106E-008
4.1000000000000020E-001, 4.1000000000000020E-001, 7.8625262542625071E-008
4.2000000000000021E-001, 4.2000000000000021E-001, 1.0307467524990789E-007
4.3000000000000022E-001, 4.3000000000000022E-001, 1.3529632681540459E-007
4.4000000000000022E-001, 4.4000000000000022E-001, 1.7788650811697022E-007
4.5000000000000023E-001, 4.5000000000000023E-001, 2.3439776793781969E-007
4.6000000000000024E-001, 4.6000000000000024E-001, 3.0975044784397517E-007
4.7000000000000025E-001, 4.7000000000000025E-001, 4.1085697575957108E-007
4.8000000000000026E-001, 4.8000000000000026E-001, 5.4758716621117208E-007
4.9000000000000027E-001, 4.9000000000000027E-001, 7.3428783340636821E-007
5.0000000000000022E-001, 5.0000000000000022E-001, 9.9221430771738452E-007
5.1000000000000023E-001, 5.1000000000000023E-001, 1.3534771189270465E-006
5.2000000000000024E-001, 5.2000000000000024E-001, 1.8675266323477142E-006
5.3000000000000025E-001, 5.3000000000000025E-001, 2.6119164134251971E-006
5.4000000000000026E-001, 5.4000000000000026E-001, 3.7103169606300286E-006
5.5000000000000027E-001, 5.5000000000000027E-001, 5.3628641808083837E-006
5.6000000000000028E-001, 5.6000000000000028E-001, 7.8975566748586777E-006
5.7000000000000028E-001, 5.7000000000000028E-001, 1.1857655457663655E-005
5.8000000000000029E-001, 5.8000000000000029E-001, 1.8150768996032915E-005
5.9000000000000030E-001, 5.9000000000000030E-001, 2.8303755652086260E-005
6.0000000000000031E-001, 6.0000000000000031E-001, 4.4899285438879366E-005
6.1000000000000032E-001, 6.1000000000000032E-001, 7.2324346518410504E-005
6.2000000000000033E-001, 6.2000000000000033E-001, 1.1805426396654326E-004
6.3000000000000034E-001, 6.3000000000000034E-001, 1.9485502508051304E-004
6.4000000000000035E-001, 6.4000000000000035E-001, 3.2455668498854477E-004
6.5000000000000036E-001, 6.5000000000000036E-001, 5.4450299845454700E-004
6.6000000000000036E-001, 6.6000000000000036E-001, 9.1852443018877695E-004
6.7000000000000037E-001, 6.7000000000000037E-001, 1.5554516711270385E-003
6.8000000000000038E-001, 6.8000000000000038E-001, 2.6398932679367573E-003
6.9000000000000039E-001, 6.9000000000000039E-001, 4.4820845046183444E-003
7.0000000000000040E-001, 7.0000000000000040E-001, 7.5949527109705388E-003
7.1000000000000041E-001, 7.1000000000000041E-001, 1.2803468932746233E-002
7.2000000000000042E-001, 7.2000000000000042E-001, 2.1375401695250627E-002
